Sample description: b'Au'
Sample: b'Au'  c= 0 mg/ml  Code: 
Parent(s): /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86116_eiger.dat /mxn/home/cosaxs-user/data-visitors/20240016/2025012112/process/scan-86118_eiger.dat
  2.869220e-02   1.662133e+00   9.816328e-03
  2.876326e-02   1.635232e+00   9.730205e-03
  2.883433e-02   1.603814e+00   9.616980e-03
  2.890539e-02   1.581298e+00   9.535245e-03
  2.897645e-02   1.537857e+00   9.421531e-03
  2.904751e-02   1.517716e+00   9.351596e-03
  2.911858e-02   1.497075e+00   9.255730e-03
  2.918964e-02   1.491346e+00   9.225792e-03
  2.926070e-02   1.452450e+00   9.088904e-03
  2.933176e-02   1.442913e+00   9.058384e-03
  2.940283e-02   1.417164e+00   8.986193e-03
  2.947389e-02   1.398316e+00   8.893757e-03
  2.954495e-02   1.381898e+00   8.851714e-03
  2.961602e-02   1.386006e+00   8.853085e-03
  2.968708e-02   1.345022e+00   8.713441e-03
  2.975814e-02   1.324523e+00   8.776793e-03
  2.982920e-02   1.316221e+00   8.824777e-03
  2.990027e-02   1.298981e+00   8.829944e-03
  2.997133e-02   1.274790e+00   8.761395e-03
  3.004239e-02   1.257804e+00   8.734830e-03
  3.011345e-02   1.239938e+00   8.710286e-03
  3.018452e-02   1.217880e+00   8.677416e-03
  3.025558e-02   1.205617e+00   8.648677e-03
  3.032664e-02   1.210963e+00   8.691513e-03
  3.039770e-02   1.171146e+00   8.567313e-03
  3.046877e-02   1.165361e+00   8.548322e-03
  3.053983e-02   1.158491e+00   8.516411e-03
  3.061089e-02   1.119870e+00   8.409747e-03
  3.068195e-02   1.107635e+00   8.372573e-03
  3.075302e-02   1.105428e+00   8.387458e-03
  3.082408e-02   1.091878e+00   8.315421e-03
  3.089514e-02   1.081290e+00   8.289821e-03
  3.096620e-02   1.065047e+00   8.235555e-03
  3.103727e-02   1.062096e+00   8.231971e-03
  3.110833e-02   1.043364e+00   8.139855e-03
  3.117939e-02   1.012182e+00   8.013903e-03
  3.125046e-02   1.019057e+00   8.056933e-03
  3.132152e-02   1.007169e+00   8.023865e-03
  3.139258e-02   9.860210e-01   7.914772e-03
  3.146364e-02   9.872380e-01   7.940708e-03
  3.153471e-02   9.821560e-01   7.910695e-03
  3.160577e-02   9.733591e-01   7.864586e-03
  3.167683e-02   9.665419e-01   7.853441e-03
  3.174789e-02   9.407391e-01   7.752254e-03
  3.181896e-02   9.519747e-01   7.812458e-03
  3.189002e-02   9.319290e-01   7.728075e-03
  3.196108e-02   9.259891e-01   7.678651e-03
  3.203214e-02   9.150701e-01   7.648414e-03
  3.210321e-02   8.973876e-01   7.601697e-03
  3.217427e-02   8.929430e-01   7.590333e-03
  3.224533e-02   8.857571e-01   7.538187e-03
  3.231639e-02   8.781019e-01   7.494801e-03
  3.238746e-02   8.629361e-01   7.433632e-03
  3.245852e-02   8.707182e-01   7.480128e-03
  3.252958e-02   8.541969e-01   7.394568e-03
  3.260065e-02   8.435129e-01   7.355049e-03
  3.267171e-02   8.303071e-01   7.316319e-03
  3.274277e-02   8.413506e-01   7.345902e-03
  3.281383e-02   8.172892e-01   7.242488e-03
  3.288490e-02   8.246841e-01   7.253066e-03
  3.295596e-02   8.034040e-01   7.171300e-03
  3.302702e-02   8.092100e-01   7.241589e-03
  3.309808e-02   8.134279e-01   7.200524e-03
  3.316915e-02   8.010047e-01   7.168589e-03
  3.324021e-02   7.914964e-01   7.120956e-03
  3.331127e-02   7.921295e-01   7.111585e-03
  3.338233e-02   7.852704e-01   7.068473e-03
  3.345340e-02   7.669447e-01   7.010657e-03
  3.352446e-02   7.726531e-01   7.035153e-03
  3.359552e-02   7.636866e-01   7.009414e-03
  3.366658e-02   7.603045e-01   6.989473e-03
  3.373765e-02   7.611921e-01   6.989133e-03
  3.380871e-02   7.442873e-01   6.914255e-03
  3.387977e-02   7.597277e-01   6.967518e-03
  3.395083e-02   7.369825e-01   6.889972e-03
  3.402190e-02   7.268887e-01   6.835096e-03
  3.409296e-02   7.180439e-01   6.790135e-03
  3.416402e-02   7.330840e-01   6.853475e-03
  3.423509e-02   7.163977e-01   6.745297e-03
  3.430615e-02   7.142616e-01   6.732245e-03
  3.437721e-02   7.142499e-01   6.755824e-03
  3.444827e-02   7.193219e-01   6.775005e-03
  3.451934e-02   7.061212e-01   6.680478e-03
  3.459040e-02   7.145663e-01   6.738788e-03
  3.466146e-02   7.117158e-01   6.724454e-03
  3.473252e-02   6.972622e-01   6.654037e-03
  3.480359e-02   6.911403e-01   6.634494e-03
  3.487465e-02   6.959363e-01   6.613329e-03
  3.494571e-02   6.892541e-01   6.587495e-03
  3.501677e-02   6.816546e-01   6.554766e-03
  3.508784e-02   6.812315e-01   6.549494e-03
  3.515890e-02   6.692679e-01   6.503098e-03
  3.522996e-02   6.841097e-01   6.584283e-03
  3.530102e-02   6.813763e-01   6.579118e-03
  3.537209e-02   6.837284e-01   6.569727e-03
  3.544315e-02   6.616559e-01   6.477350e-03
  3.551421e-02   6.620180e-01   6.505936e-03
  3.558527e-02   6.623575e-01   6.484899e-03
  3.565634e-02   6.546268e-01   6.429181e-03
  3.572740e-02   6.514362e-01   6.439712e-03
  3.579846e-02   6.475821e-01   6.420543e-03
  3.586953e-02   6.527816e-01   6.436975e-03
  3.594059e-02   6.463574e-01   6.400711e-03
